,Actor_name,Wikipedia_movie_ID,Actor age at movie release,log_revenues,Revenue_with_inflation,revenues_in_millions
39,Angelina Jolie,4464137.52,27.8,18.42095968024508,243752735.24466506,100.02789751990592
40,Jonah Hill,14462676.192307692,24.423076923076923,18.41982951008863,209392456.6407949,99.91491283330303
41,Bernie Mac,3446427.5714285714,44.095238095238095,18.414491941968958,234272896.15371835,99.38303092061403
42,Robin Williams,4097175.3846153845,46.490196078431374,18.413124389469893,241589267.0081634,99.24721229902887
43,Jamie Foxx,8130926.095238095,36.0,18.40731775132866,170982354.5562797,98.6725895783331
44,Michael Douglas,8252637.833333333,50.86206896551724,18.40435729598135,187445647.97679037,98.38090575438477
45,Scarlett Johansson,7435837.206896552,19.93103448275862,18.396013186057314,282751152.929025,97.5634200008967
46,Gary Oldman,8878729.305555556,43.029411764705884,18.3952895684736,392254106.3396051,97.49284693169325
47,Sam Elliott,6538450.739130435,51.78260869565217,18.38246858243809,166365619.82166165,96.25087119213774
48,Max von Sydow,5067685.9,61.06896551724138,18.38056817675992,261141546.4291569,96.06812918696578
49,Bruce Willis,5761541.301587301,44.596774193548384,18.363688972757874,214442077.78458405,94.46018422793857
50,George Kennedy,2400513.625,53.17391304347826,18.351776070369837,155134267.51485962,93.34156550077078
51,Pat Hingle,3375503.4285714286,63.61904761904762,18.349308669024772,198079911.22406197,93.11153829792036
52,Ashton Kutcher,9001528.5,27.473684210526315,18.34539817886363,152375352.77068424,92.7481375441451
53,Cedric the Entertainer,6339061.652173913,39.95652173913044,18.337194010538045,225592126.22726765,91.99032905661056
54,Jason Bateman,11249639.57142857,37.035714285714285,18.332476006699636,170115451.03873882,91.55734055490898
55,Seann William Scott,8404591.291666666,28.375,18.329615212095078,269077579.50655454,91.2957881113334
56,Tommy Lee Jones,5732827.486486486,48.83783783783784,18.329598519216177,245817627.65663862,91.29426413451807
57,Julia Roberts,5734631.810810811,31.37837837837838,18.32588687460419,252996510.62525684,90.95604034248507
58,Richard Griffiths,5638634.380952381,52.6,18.322951227764058,463962529.043081,90.68941707741591
59,Jon Favreau,6315396.142857143,36.142857142857146,18.322333946755368,238804659.13556767,90.63345349696954
60,Jon Voight,4891971.0,59.25806451612903,18.321106115338807,227248377.35536906,90.52223918555929
61,Jason Isaacs,7973717.923076923,40.73076923076923,18.319350210623302,415839837.0833782,90.3634302264187
62,Natalie Portman,7627016.851851852,22.76,18.304054080242,283305397.4385229,88.99173696016423
63,Delroy Lindo,2775859.4545454546,46.09090909090909,18.294477981983366,198435867.96848366,88.14361069426167
64,Robbie Coltrane,5682371.2,48.89655172413793,18.294160036998974,507054797.50805765,88.11559033003842
65,Matt Damon,5830730.0227272725,32.34090909090909,18.292994666320055,192403358.18202755,88.01296281587484
66,Queen Latifah,7901925.533333333,33.2,18.290216322149835,217013927.8883758,87.76877189402339
67,Mark Wahlberg,7640557.962962963,32.25925925925926,18.289273157296055,171244515.18667093,87.68603049863519
68,Rob Schneider,3602207.888888889,37.074074074074076,18.284991218017915,175836808.18791562,87.31136695622266
69,Owen Wilson,7053132.411764706,35.54545454545455,18.274416112332766,251029841.4677262,86.39290499878267
70,Goldie Hawn,2991997.5,41.55,18.27270609190558,131234733.58745189,86.24529760826637
71,Madeline Kahn,3458209.409090909,39.23809523809524,18.26776940539381,180058639.7904747,85.82058082023912
72,Cate Blanchett,4937507.62962963,34.48148148148148,18.26536167816282,319863115.2122486,85.61419682870017
73,Kevin Dunn,6100224.56,43.44,18.261130967679577,241282306.55220616,85.2527530697334
74,Denzel Washington,4472566.861111111,42.666666666666664,18.260189617421382,139818876.02067152,85.1725381297201
